Source	Target	CLIPS	DSS-Polysemy	DSS-Derivation
EGG	TESTICLES	12	8	1
TESTICLES	EGG	2	0	0
TESTICLES	FRUIT	0	0	0
HEART	LUNG	2	1	2
HEART	BRAVE	6	2	4
LUNG	HEART	0	0	0
LUNG	LIVER	0	0	3
LUNG	LIGHT (WEIGHT)	0	0	0
LIVER	LUNG	4	3	8
EARTH (SOIL)	POTATO	3	1	1
POTATO	EARTH (SOIL)	0	0	0
POTATO	SWEET POTATO	4	0	0
NOSE	NOSTRIL	37	4	2
NOSTRIL	NOSE	0	0	0
SKY	WEATHER	5	2	1
WEATHER	SKY	2	0	0
SUN	DAY (NOT NIGHT)	6	10	5
SUN	SUNDAY	9	3	4
SUN	EYE	0	0	0
DAY (NOT NIGHT)	SUN	8	5	24
SUNDAY	SUN	0	0	0
SUNDAY	MARKET	0	1	0
SUNDAY	WEEK	2	6	1
MOON	MONTH	5	71	6
MONTH	MOON	5	0	0
WIND	AIR	3	1	1
AIR	WIND	3	0	0
WOMAN	WIFE	10	5	1
WIFE	WOMAN	9	3	0
WIFE	HOUSE	0	0	0
DAUGHTER	GIRL	10	1	1
GIRL	DAUGHTER	4	0	0
MARRY	HUSBAND	3	3	2
HUSBAND	MARRY	12	0	1
HUSBAND	FATHER	2	0	0
HUSBAND	OLD MAN	8	0	0
HUSBAND	HOUSE	0	0	0
FATHER	PARENTS	21	3	6
FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	16	2	3
FATHER	ANCESTORS	8	8	5
FATHER	BIG	4	1	1
FATHER	HUSBAND	2	1	2
PARENTS	FATHER	0	0	0
PATERNAL UNCLE (FATHER'S BROTHER)	FATHER	0	0	0
ANCESTORS	FATHER	0	0	0
ANCESTORS	GRANDFATHER	2	0	0
BIG	FATHER	0	0	0
GRANDFATHER	OLD MAN	4	4	1
GRANDFATHER	ANCESTORS	17	5	1
OLD MAN	GRANDFATHER	3	0	0
OLD MAN	HUSBAND	2	15	1
WORM	SNAKE	2	1	1
SNAKE	WORM	6	0	0
FROG	TURTLE	4	1	4
TURTLE	FROG	0	0	1
TURTLE	SHIELD	0	0	0
TAIL	END (OF SPACE)	2	2	1
END (OF SPACE)	TAIL	0	1	0
BACK	BEHIND	12	2	1
BEHIND	BACK	2	0	0
CHIN	BEARD	10	1	1
BEARD	CHIN	4	1	0
EYE	SUN	4	1	2
MOUTH	HOLE	3	7	1
HOLE	MOUTH	0	0	0
WING	FIN	12	4	1
FIN	WING	5	0	0
BRAVE	HEART	0	0	0
INTESTINES	SAUSAGE	6	3	1
SAUSAGE	INTESTINES	3	0	0
SLEEP	COPULATE	2	3	1
COPULATE	SLEEP	0	0	0
COPULATE	GO	0	0	0
SEIZE	UNDERSTAND	2	7	2
UNDERSTAND	SEIZE	0	0	0
NAKED	BALD	3	1	1
BALD	NAKED	0	0	0
MIX	DOUGH	2	1	1
DOUGH	MIX	0	0	0
FRUIT	TESTICLES	8	1	1
BELT	RAINBOW	2	1	3
RAINBOW	BELT	0	0	0
RAINBOW	ARCH	0	0	0
RAINBOW	BOW	0	0	0
HOUSE	FAMILY	12	3	1
HOUSE	WIFE	3	2	2
HOUSE	HUSBAND	5	1	2
FAMILY	HOUSE	0	0	0
ARCH	RAINBOW	5	1	1
SWEET POTATO	POTATO	6	2	4
SILVER	MONEY	3	17	2
SILVER	WHITE	0	0	0
MONEY	SILVER	7	6	6
JUMP	DANCE	5	4	3
DANCE	JUMP	0	0	0
GO	COPULATE	3	1	1
GO	FIND	2	1	1
FIND	GO	0	0	0
CARRY	PREGNANT	3	3	2
PREGNANT	CARRY	0	0	0
PREGNANT	HEAVY	0	0	0
GIVE	SELL	4	1	2
SELL	GIVE	0	0	0
MARKET	SUNDAY	3	3	1
SMALL	BOY	11	1	1
BOY	SMALL	0	0	0
LONG	FAR	4	1	1
FAR	LONG	2	0	0
EARLY	MORNING	8	2	1
MORNING	EARLY	10	1	0
MORNING	TOMORROW	4	4	5
TOMORROW	MORNING	5	0	2
HOUR	CLOCK	5	4	2
CLOCK	HOUR	6	0	0
WEEK	SUNDAY	11	0	1
SEE	MEET	3	3	1
SEE	GUARD	4	1	1
SEE	SEEM	4	2	1
MEET	SEE	0	0	0
GUARD	SEE	0	0	0
SEEM	SEE	0	0	0
WHITE	WHEAT	3	1	1
WHITE	SILVER	7	1	4
WHEAT	WHITE	0	0	0
BLACK	PRIEST	2	1	2
PRIEST	BLACK	0	0	0
BLUE	BRUISE	5	3	2
BRUISE	BLUE	0	0	0
YELLOW	GOLD	3	1	7
GOLD	YELLOW	0	1	0
HEAVY	PREGNANT	4	6	3
LIGHT (WEIGHT)	LUNG	3	1	7
HOT	FEVER	9	3	2
FEVER	HOT	3	0	0
SING	ROOSTER	2	1	2
ROOSTER	SING	0	0	0
BOW	RAINBOW	5	3	1
SHIELD	TURTLE	2	1	2
